Nenner,AVG #Terms,MIN #Terms,MAX #Terms,MIN longest Denominator,MAX longest Denominator,Time
8501,32,2,8500,17002,72258500,5
8502,33,2,8501,42510,72275502,9
8503,32,2,8502,17006,72292506,6
8504,32,2,8503,25512,72309512,7
8505,33,2,8504,17010,72326520,8
8506,32,2,8505,25518,72343530,7
8507,32,2,8506,17014,72360542,6
8508,33,2,8507,42540,72377556,8
8509,32,2,8508,17018,72394572,5
8510,33,2,8509,25530,72411590,8
8511,32,2,8510,17022,72428610,7
8512,33,3,8511,25536,72445632,8
8513,32,2,8512,17026,72462656,6
8514,33,2,8513,42570,72479682,9
8515,33,2,8514,17030,72496710,7
8516,32,2,8515,25548,72513740,7
8517,33,2,8516,17034,72530772,7
8518,32,2,8517,25554,72547806,7
8519,32,2,8518,17038,72564842,6
8520,33,3,8519,59640,72581880,10
8521,32,2,8520,17042,72598920,5
8522,32,2,8521,25566,72615962,7
8523,32,2,8522,17046,72633006,6
8524,32,2,8523,25572,72650052,7
8525,33,2,8524,17050,72667100,7
8526,33,3,8525,42630,72684150,9
8527,32,2,8526,17054,72701202,5
8528,33,2,8527,25584,72718256,7
8529,32,2,8528,17058,72735312,6
8530,32,2,8529,25590,72752370,8
8531,32,2,8530,17062,72769430,6
8532,33,2,8531,42660,72786492,8
8533,33,2,8532,17066,72803556,6
8534,32,2,8533,25602,72820622,7
8535,33,2,8534,17070,72837690,7
8536,33,3,8535,25608,72854760,7
8537,32,2,8536,17074,72871832,5
8538,32,3,8537,42690,72888906,8
8539,32,2,8538,17078,72905982,5
8540,33,2,8539,25620,72923060,9
8541,33,2,8540,17082,72940140,7
8542,32,3,8541,25626,72957222,7
8543,32,2,8542,17086,72974306,5
8544,33,2,8543,42720,72991392,8
8545,32,2,8544,17090,73008480,6
8546,32,2,8545,25638,73025570,7
8547,33,2,8546,17094,73042662,8
8548,32,2,8547,25644,73059756,7
8549,32,2,8548,17098,73076852,5
8550,33,2,8549,59850,73093950,10
8551,32,2,8550,17102,73111050,6
8552,32,2,8551,25656,73128152,7
8553,32,2,8552,17106,73145256,6
8554,33,2,8553,25662,73162362,8
8555,33,2,8554,17110,73179470,6
8556,33,2,8555,42780,73196580,9
8557,32,2,8556,17114,73213692,6
8558,32,2,8557,25674,73230806,7
8559,32,2,8558,17118,73247922,7
8560,33,2,8559,25680,73265040,8
8561,32,2,8560,17122,73282160,6
8562,32,3,8561,42810,73299282,8
8563,32,2,8562,17126,73316406,5
8564,32,2,8563,25692,73333532,7
8565,33,2,8564,17130,73350660,7
8566,32,2,8565,25698,73367790,7
8567,32,2,8566,17134,73384922,6
8568,34,2,8567,42840,73402056,10
8569,33,2,8568,17138,73419192,6
8570,33,2,8569,25710,73436330,8
8571,32,2,8570,17142,73453470,7
8572,32,3,8571,25716,73470612,7
8573,32,2,8572,17146,73487756,5
8574,32,2,8573,42870,73504902,8
8575,33,2,8574,17150,73522050,7
8576,33,2,8575,25728,73539200,7
8577,32,2,8576,17154,73556352,7
8578,32,2,8577,25734,73573506,7
8579,32,2,8578,17158,73590662,6
8580,34,3,8579,60060,73607820,11
8581,32,2,8580,17162,73624980,5
8582,33,2,8581,25746,73642142,8
8583,32,2,8582,17166,73659306,7
8584,33,2,8583,25752,73676472,7
8585,33,2,8584,17170,73693640,7
8586,33,2,8585,42930,73710810,8
8587,32,2,8586,17174,73727982,6
8588,33,2,8587,25764,73745156,9
8589,33,2,8588,17178,73762332,7
8590,33,2,8589,25770,73779510,8
8591,32,2,8590,17182,73796690,6
8592,33,2,8591,42960,73813872,8
8593,32,2,8592,17186,73831056,6
8594,32,2,8593,25782,73848242,7
8595,33,2,8594,17190,73865430,8
8596,33,3,8595,25788,73882620,8
8597,32,2,8596,17194,73899812,5
8598,32,3,8597,42990,73917006,8
8599,32,2,8598,17198,73934202,5
8600,33,2,8599,25800,73951400,8
8601,33,2,8600,17202,73968600,7
8602,33,2,8601,25806,73985802,8
8603,32,2,8602,17206,74003006,6
8604,33,2,8603,43020,74020212,8
8605,32,2,8604,17210,74037420,6
8606,33,2,8605,25818,74054630,7
8607,33,2,8606,17214,74071842,7
8608,32,3,8607,25824,74089056,7
8609,32,2,8608,17218,74106272,5
8610,33,2,8609,94710,74123490,10
8611,32,2,8610,17222,74140710,6
8612,32,2,8611,25836,74157932,7
8613,33,2,8612,17226,74175156,7
8614,32,2,8613,25842,74192382,7
8615,32,2,8614,17230,74209610,6
8616,33,2,8615,43080,74226840,8
8617,32,2,8616,17234,74244072,6
8618,32,2,8617,25854,74261306,7
8619,33,2,8618,17238,74278542,7
8620,33,2,8619,25860,74295780,8
8621,32,2,8620,17242,74313020,6
8622,33,3,8621,43110,74330262,8
8623,32,2,8622,17246,74347506,5
8624,33,2,8623,25872,74364752,8
8625,33,2,8624,17250,74382000,8
8626,33,3,8625,25878,74399250,7
8627,32,2,8626,17254,74416502,6
8628,33,3,8627,43140,74433756,8
8629,32,2,8628,17258,74451012,5
8630,33,2,8629,25890,74468270,8
8631,33,2,8630,17262,74485530,7
8632,33,2,8631,25896,74502792,7
8633,32,2,8632,17266,74520056,6
8634,33,2,8633,43170,74537322,8
8635,33,2,8634,17270,74554590,7
8636,33,2,8635,25908,74571860,7
8637,32,2,8636,17274,74589132,7
8638,33,2,8637,25914,74606406,7
8639,32,2,8638,17278,74623682,6
8640,33,3,8639,60480,74640960,10
8641,32,2,8640,17282,74658240,5
8642,32,2,8641,25926,74675522,7
8643,33,2,8642,17286,74692806,7
8644,32,2,8643,25932,74710092,7
8645,33,2,8644,17290,74727380,8
8646,33,3,8645,43230,74744670,9
8647,32,2,8646,17294,74761962,5
8648,33,2,8647,25944,74779256,7
8649,33,2,8648,17298,74796552,7
8650,33,2,8649,25950,74813850,8
8651,32,2,8650,17302,74831150,6
8652,33,2,8651,43260,74848452,9
8653,32,2,8652,17306,74865756,6
8654,32,2,8653,25962,74883062,7
8655,33,2,8654,17310,74900370,8
8656,32,2,8655,25968,74917680,7
8657,32,2,8656,17314,74934992,6
8658,33,2,8657,43290,74952306,9
8659,32,2,8658,17318,74969622,6
8660,33,2,8659,25980,74986940,8
8661,32,2,8660,17322,75004260,6
8662,32,3,8661,25986,75021582,7
8663,32,2,8662,17326,75038906,5
8664,33,2,8663,43320,75056232,9
8665,32,2,8664,17330,75073560,6
8666,33,2,8665,25998,75090890,7
8667,33,2,8666,17334,75108222,7
8668,33,3,8667,26004,75125556,7
8669,32,2,8668,17338,75142892,5
8670,33,2,8669,60690,75160230,10
8671,33,2,8670,17342,75177570,6
8672,33,2,8671,26016,75194912,7
8673,33,2,8672,17346,75212256,7
8674,32,2,8673,26022,75229602,7
8675,32,2,8674,17350,75246950,6
8676,33,3,8675,43380,75264300,8
8677,32,2,8676,17354,75281652,5
8678,32,2,8677,26034,75299006,7
8679,33,2,8678,17358,75316362,7
8680,33,3,8679,26040,75333720,9
8681,32,2,8680,17362,75351080,5
8682,33,2,8681,43410,75368442,8
8683,32,2,8682,17366,75385806,6
8684,33,2,8683,26052,75403172,7
8685,33,2,8684,17370,75420540,8
8686,33,2,8685,26058,75437910,7
8687,33,2,8686,17374,75455282,7
8688,33,3,8687,43440,75472656,8
8689,32,2,8688,17378,75490032,5
8690,33,2,8689,26070,75507410,8
8691,32,2,8690,17382,75524790,7
8692,33,3,8691,26076,75542172,7
8693,32,2,8692,17386,75559556,5
8694,33,2,8693,43470,75576942,9
8695,33,2,8694,17390,75594330,7
8696,32,2,8695,26088,75611720,7
8697,33,2,8696,17394,75629112,7
8698,32,3,8697,26094,75646506,7
8699,32,2,8698,17398,75663902,5
8700,33,2,8699,60900,75681300,10
8701,33,2,8700,17402,75698700,7
8702,33,2,8701,26106,75716102,7
8703,32,2,8702,17406,75733506,7
8704,33,2,8703,26112,75750912,7
8705,32,2,8704,17410,75768320,6
8706,33,3,8705,43530,75785730,8
8707,32,2,8706,17414,75803142,5
8708,33,2,8707,26124,75820556,8
