Nenner,AVG #Terms,MIN #Terms,MAX #Terms,MIN longest Denominator,MAX longest Denominator,Time
9001,32,2,9000,18002,81009000,6
9002,33,2,9001,27006,81027002,8
9003,32,2,9002,18006,81045006,7
9004,33,2,9003,27012,81063012,7
9005,33,2,9004,18010,81081020,7
9006,33,3,9005,45030,81099030,9
9007,32,2,9006,18014,81117042,6
9008,33,2,9007,27024,81135056,7
9009,34,2,9008,18018,81153072,9
9010,33,3,9009,27030,81171090,9
9011,32,2,9010,18022,81189110,6
9012,33,3,9011,45060,81207132,9
9013,32,2,9012,18026,81225156,6
9014,32,2,9013,27042,81243182,7
9015,33,2,9014,18030,81261210,8
9016,33,2,9015,27048,81279240,9
9017,32,2,9016,18034,81297272,6
9018,33,2,9017,45090,81315306,8
9019,32,2,9018,18038,81333342,6
9020,34,2,9019,27060,81351380,9
9021,33,2,9020,18042,81369420,7
9022,33,2,9021,27066,81387462,7
9023,33,2,9022,18046,81405506,6
9024,33,2,9023,45120,81423552,9
9025,33,2,9024,18050,81441600,7
9026,32,2,9025,27078,81459650,7
9027,33,2,9026,18054,81477702,7
9028,33,3,9027,27084,81495756,7
9029,32,2,9028,18058,81513812,6
9030,34,2,9029,99330,81531870,11
9031,33,2,9030,18062,81549930,6
9032,33,2,9031,27096,81567992,7
9033,33,2,9032,18066,81586056,7
9034,32,2,9033,27102,81604122,7
9035,33,2,9034,18070,81622190,7
9036,33,2,9035,45180,81640260,9
9037,33,2,9036,18074,81658332,6
9038,32,2,9037,27114,81676406,7
9039,33,2,9038,18078,81694482,7
9040,33,3,9039,27120,81712560,8
9041,32,2,9040,18082,81730640,6
9042,33,3,9041,45210,81748722,9
9043,32,2,9042,18086,81766806,6
9044,34,2,9043,27132,81784892,9
9045,33,2,9044,18090,81802980,8
9046,32,2,9045,27138,81821070,7
9047,32,2,9046,18094,81839162,6
9048,34,3,9047,45240,81857256,9
9049,32,2,9048,18098,81875352,6
9050,33,2,9049,27150,81893450,8
9051,33,2,9050,18102,81911550,8
9052,33,2,9051,27156,81929652,7
9053,33,2,9052,18106,81947756,6
9054,33,2,9053,45270,81965862,8
9055,33,2,9054,18110,81983970,6
9056,33,2,9055,27168,82002080,7
9057,33,2,9056,18114,82020192,7
9058,33,3,9057,27174,82038306,8
9059,32,2,9058,18118,82056422,6
9060,33,2,9059,63420,82074540,10
9061,33,2,9060,18122,82092660,7
9062,33,2,9061,27186,82110782,7
9063,33,2,9062,18126,82128906,7
9064,33,2,9063,27192,82147032,8
9065,33,2,9064,18130,82165160,7
9066,33,3,9065,45330,82183290,9
9067,32,2,9066,18134,82201422,6
9068,33,2,9067,27204,82219556,7
9069,33,2,9068,18138,82237692,7
9070,33,2,9069,27210,82255830,8
9071,32,2,9070,18142,82273970,6
9072,34,2,9071,45360,82292112,10
9073,32,2,9072,18146,82310256,6
9074,33,2,9073,27222,82328402,8
9075,33,2,9074,18150,82346550,9
9076,33,2,9075,27228,82364700,8
9077,32,2,9076,18154,82382852,6
9078,33,2,9077,45390,82401006,9
9079,33,2,9078,18158,82419162,6
9080,33,2,9079,27240,82437320,8
9081,33,2,9080,18162,82455480,7
9082,33,2,9081,27246,82473642,8
9083,32,2,9082,18166,82491806,6
9084,33,2,9083,45420,82509972,9
9085,33,2,9084,18170,82528140,7
9086,33,2,9085,27258,82546310,9
9087,33,2,9086,18174,82564482,8
9088,33,2,9087,27264,82582656,7
9089,32,2,9088,18178,82600832,6
9090,33,3,9089,63630,82619010,10
9091,32,2,9090,18182,82637190,6
9092,33,2,9091,27276,82655372,7
9093,33,2,9092,18186,82673556,8
9094,32,2,9093,27282,82691742,7
9095,33,2,9094,18190,82709930,7
9096,33,2,9095,45480,82728120,9
9097,33,2,9096,18194,82746312,6
9098,32,2,9097,27294,82764506,7
9099,33,2,9098,18198,82782702,7
9100,34,2,9099,27300,82800900,10
9101,33,2,9100,18202,82819100,6
9102,33,3,9101,45510,82837302,9
9103,32,2,9102,18206,82855506,6
9104,33,2,9103,27312,82873712,7
9105,33,2,9104,18210,82891920,8
9106,33,2,9105,27318,82910130,12
9107,33,2,9106,18214,82928342,11
9108,34,3,9107,45540,82946556,17
9109,32,2,9108,18218,82964772,10
9110,33,2,9109,27330,82982990,14
9111,33,2,9110,18222,83001210,12
9112,33,2,9111,27336,83019432,14
9113,33,2,9112,18226,83037656,11
9114,34,2,9113,45570,83055882,18
9115,33,2,9114,18230,83074110,12
9116,33,2,9115,27348,83092340,9
9117,33,2,9116,18234,83110572,7
9118,33,2,9117,27354,83128806,7
9119,33,2,9118,18238,83147042,6
9120,34,2,9119,63840,83165280,10
9121,33,2,9120,18242,83183520,6
9122,32,2,9121,27366,83201762,7
9123,33,2,9122,18246,83220006,7
9124,33,2,9123,27372,83238252,7
9125,33,2,9124,18250,83256500,7
9126,33,3,9125,45630,83274750,9
9127,32,2,9126,18254,83293002,6
9128,33,2,9127,27384,83311256,8
9129,33,2,9128,18258,83329512,7
9130,33,2,9129,27390,83347770,9
9131,33,2,9130,18262,83366030,6
9132,33,3,9131,45660,83384292,9
9133,32,2,9132,18266,83402556,6
9134,33,2,9133,27402,83420822,7
9135,34,2,9134,18270,83439090,9
9136,33,3,9135,27408,83457360,7
9137,32,2,9136,18274,83475632,6
9138,33,2,9137,45690,83493906,8
9139,33,2,9138,18278,83512182,7
9140,33,2,9139,27420,83530460,8
9141,33,2,9140,18282,83548740,7
9142,33,2,9141,27426,83567022,8
9143,32,2,9142,18286,83585306,6
9144,33,2,9143,45720,83603592,9
9145,33,2,9144,18290,83621880,7
9146,33,2,9145,27438,83640170,7
9147,33,2,9146,18294,83658462,7
9148,33,2,9147,27444,83676756,7
9149,33,2,9148,18298,83695052,6
9150,34,3,9149,64050,83713350,10
9151,32,2,9150,18302,83731650,6
9152,33,2,9151,27456,83749952,8
9153,33,2,9152,18306,83768256,7
9154,33,2,9153,27462,83786562,7
9155,33,2,9154,18310,83804870,7
9156,34,3,9155,45780,83823180,10
9157,32,2,9156,18314,83841492,6
9158,33,2,9157,27474,83859806,7
9159,33,2,9158,18318,83878122,7
9160,33,3,9159,27480,83896440,8
9161,32,2,9160,18322,83914760,6
9162,33,2,9161,45810,83933082,9
9163,33,2,9162,18326,83951406,7
9164,33,2,9163,27492,83969732,8
9165,34,2,9164,18330,83988060,9
