Nenner,AVG #Terms,MIN #Terms,MAX #Terms,MIN longest Denominator,MAX longest Denominator,Time
7802,32,2,7801,23406,60863402,12
7803,32,2,7802,15606,60879006,12
7804,32,2,7803,23412,60894612,12
7805,32,2,7804,15610,60910220,12
7806,32,2,7805,39030,60925830,14
7807,32,2,7806,15614,60941442,9
7808,32,2,7807,23424,60957056,12
7809,32,2,7808,15618,60972672,12
7810,32,2,7809,23430,60988290,14
7811,32,2,7810,15622,61003910,9
7812,33,2,7811,39060,61019532,16
7813,32,2,7812,15626,61035156,10
7814,32,2,7813,23442,61050782,11
7815,32,2,7814,15630,61066410,13
7816,32,3,7815,23448,61082040,11
7817,31,2,7816,15634,61097672,9
7818,32,2,7817,39090,61113306,14
7819,32,2,7818,15638,61128942,10
7820,33,2,7819,23460,61144580,15
7821,32,2,7820,15642,61160220,12
7822,32,3,7821,23466,61175862,11
7823,31,2,7822,15646,61191506,9
7824,32,2,7823,39120,61207152,14
7825,32,2,7824,15650,61222800,10
7826,32,2,7825,23478,61238450,14
7827,32,2,7826,15654,61254102,11
7828,32,3,7827,23484,61269756,12
7829,31,2,7828,15658,61285412,9
7830,33,2,7829,54810,61301070,16
7831,32,2,7830,15662,61316730,9
7832,32,2,7831,23496,61332392,13
7833,32,2,7832,15666,61348056,12
7834,32,2,7833,23502,61363722,11
7835,32,2,7834,15670,61379390,10
7836,32,2,7835,39180,61395060,14
7837,32,2,7836,15674,61410732,10
7838,32,2,7837,23514,61426406,11
7839,32,2,7838,15678,61442082,12
7840,33,3,7839,23520,61457760,15
7841,31,2,7840,15682,61473440,9
7842,32,2,7841,39210,61489122,14
7843,32,2,7842,15686,61504806,10
7844,32,2,7843,23532,61520492,12
7845,32,2,7844,15690,61536180,13
7846,32,2,7845,23538,61551870,11
7847,32,2,7846,15694,61567562,11
7848,32,2,7847,39240,61583256,14
7849,32,2,7848,15698,61598952,9
7850,32,2,7849,23550,61614650,13
7851,32,2,7850,15702,61630350,11
7852,32,3,7851,23556,61646052,12
7853,31,2,7852,15706,61661756,9
7854,33,2,7853,39270,61677462,17
7855,32,2,7854,15710,61693170,10
7856,32,2,7855,23568,61708880,12
7857,32,2,7856,15714,61724592,11
7858,32,2,7857,23574,61740306,11
7859,32,2,7858,15718,61756022,9
7860,33,2,7859,55020,61771740,16
7861,32,2,7860,15722,61787460,10
7862,32,2,7861,23586,61803182,11
7863,32,2,7862,15726,61818906,11
7864,32,2,7863,23592,61834632,12
7865,32,2,7864,15730,61850360,12
7866,33,3,7865,39330,61866090,15
7867,31,2,7866,15734,61881822,9
7868,32,2,7867,23604,61897556,13
7869,32,2,7868,15738,61913292,11
