Nenner,AVG #Terms,MIN #Terms,MAX #Terms,MIN longest Denominator,MAX longest Denominator,Time
8001,32,2,8000,16002,64008000,7
8002,32,2,8001,24006,64024002,6
8003,32,2,8002,16006,64040006,5
8004,33,2,8003,40020,64056012,8
8005,32,2,8004,16010,64072020,6
8006,32,2,8005,24018,64088030,6
8007,32,2,8006,16014,64104042,7
8008,33,3,8007,24024,64120056,8
8009,31,2,8008,16018,64136072,5
8010,33,3,8009,56070,64152090,9
8011,31,2,8010,16022,64168110,5
8012,32,2,8011,24036,64184132,6
8013,32,2,8012,16026,64200156,6
8014,32,2,8013,24042,64216182,7
8015,32,2,8014,16030,64232210,7
8016,32,3,8015,40080,64248240,8
8017,31,2,8016,16034,64264272,5
8018,32,2,8017,24054,64280306,7
8019,32,2,8018,16038,64296342,7
8020,32,2,8019,24060,64312380,8
8021,32,2,8020,16042,64328420,6
8022,33,2,8021,40110,64344462,9
8023,32,2,8022,16046,64360506,5
8024,32,2,8023,24072,64376552,7
8025,32,2,8024,16050,64392600,7
8026,32,2,8025,24078,64408650,6
8027,32,2,8026,16054,64424702,5
8028,32,2,8027,40140,64440756,8
8029,32,2,8028,16058,64456812,6
8030,33,2,8029,24090,64472870,8
8031,32,2,8030,16062,64488930,6
8032,32,2,8031,24096,64504992,6
8033,32,2,8032,16066,64521056,5
8034,33,2,8033,40170,64537122,8
8035,32,2,8034,16070,64553190,6
8036,32,2,8035,24108,64569260,7
8037,32,2,8036,16074,64585332,7
8038,32,3,8037,24114,64601406,6
8039,31,2,8038,16078,64617482,5
8040,33,2,8039,56280,64633560,9
8041,32,2,8040,16082,64649640,6
8042,32,2,8041,24126,64665722,6
8043,32,2,8042,16086,64681806,7
8044,32,2,8043,24132,64697892,6
8045,32,2,8044,16090,64713980,6
8046,32,2,8045,40230,64730070,8
8047,32,2,8046,16094,64746162,5
8048,32,2,8047,24144,64762256,6
8049,32,2,8048,16098,64778352,6
8050,33,2,8049,24150,64794450,8
8051,32,2,8050,16102,64810550,5
8052,33,3,8051,40260,64826652,8
8053,31,2,8052,16106,64842756,5
8054,32,2,8053,24162,64858862,6
8055,32,2,8054,16110,64874970,7
8056,32,2,8055,24168,64891080,7
8057,32,2,8056,16114,64907192,6
8058,33,3,8057,40290,64923306,8
8059,31,2,8058,16118,64939422,5
8060,33,2,8059,24180,64955540,8
8061,32,2,8060,16122,64971660,6
8062,32,2,8061,24186,64987782,6
8063,32,2,8062,16126,65003906,6
8064,33,2,8063,40320,65020032,9
8065,32,2,8064,16130,65036160,6
8066,32,2,8065,24198,65052290,6
8067,32,2,8066,16134,65068422,6
8068,32,3,8067,24204,65084556,6
8069,31,2,8068,16138,65100692,5
8070,33,2,8069,56490,65116830,9
8071,32,2,8070,16142,65132970,6
8072,32,2,8071,24216,65149112,6
8073,33,2,8072,16146,65165256,7
8074,32,2,8073,24222,65181402,7
8075,32,2,8074,16150,65197550,6
8076,32,2,8075,40380,65213700,8
8077,32,2,8076,16154,65229852,5
8078,32,2,8077,24234,65246006,7
8079,32,2,8078,16158,65262162,6
8080,32,3,8079,24240,65278320,7
8081,31,2,8080,16162,65294480,5
8082,32,2,8081,40410,65310642,8
8083,32,2,8082,16166,65326806,5
8084,32,2,8083,24252,65342972,7
8085,33,2,8084,16170,65359140,8
8086,32,3,8085,24258,65375310,7
8087,31,2,8086,16174,65391482,5
8088,32,3,8087,40440,65407656,8
8089,31,2,8088,16178,65423832,5
8090,32,2,8089,24270,65440010,7
8091,32,2,8090,16182,65456190,7
8092,33,3,8091,24276,65472372,7
8093,31,2,8092,16186,65488556,5
8094,33,2,8093,40470,65504742,8
8095,32,2,8094,16190,65520930,7
8096,33,2,8095,24288,65537120,8
8097,32,2,8096,16194,65553312,6
8098,32,2,8097,24294,65569506,6
8099,32,2,8098,16198,65585702,6
8100,33,3,8099,56700,65601900,9
8101,31,2,8100,16202,65618100,5
8102,32,2,8101,24306,65634302,6
8103,32,2,8102,16206,65650506,6
8104,32,2,8103,24312,65666712,7
8105,32,2,8104,16210,65682920,6
8106,33,2,8105,40530,65699130,8
8107,32,2,8106,16214,65715342,6
8108,32,2,8107,24324,65731556,7
8109,32,2,8108,16218,65747772,7
8110,32,3,8109,24330,65763990,7
8111,31,2,8110,16222,65780210,5
8112,33,2,8111,40560,65796432,8
8113,32,2,8112,16226,65812656,6
8114,32,2,8113,24342,65828882,7
8115,32,2,8114,16230,65845110,7
8116,32,3,8115,24348,65861340,6
8117,31,2,8116,16234,65877572,5
8118,33,2,8117,40590,65893806,8
8119,32,2,8118,16238,65910042,5
8120,33,2,8119,24360,65926280,9
8121,32,2,8120,16242,65942520,6
8122,32,3,8121,24366,65958762,6
8123,31,2,8122,16246,65975006,5
8124,32,2,8123,40620,65991252,8
8125,32,2,8124,16250,66007500,6
8126,32,2,8125,24378,66023750,7
8127,33,2,8126,16254,66040002,7
8128,32,2,8127,24384,66056256,7
8129,32,2,8128,16258,66072512,6
8130,33,2,8129,56910,66088770,9
8131,32,2,8130,16262,66105030,5
8132,32,2,8131,24396,66121292,7
8133,32,2,8132,16266,66137556,6
8134,32,2,8133,24402,66153822,7
8135,32,2,8134,16270,66170090,6
8136,33,2,8135,40680,66186360,8
8137,32,2,8136,16274,66202632,5
8138,32,2,8137,24414,66218906,7
8139,32,2,8138,16278,66235182,6
8140,33,2,8139,24420,66251460,8
8141,32,2,8140,16282,66267740,6
8142,33,2,8141,40710,66284022,8
8143,32,2,8142,16286,66300306,5
8144,32,2,8143,24432,66316592,7
8145,32,2,8144,16290,66332880,7
8146,32,3,8145,24438,66349170,6
8147,31,2,8146,16294,66365462,5
8148,33,2,8147,40740,66381756,9
8149,32,2,8148,16298,66398052,5
8150,32,2,8149,24450,66414350,8
8151,33,2,8150,16302,66430650,8
8152,32,2,8151,24456,66446952,6
8153,32,2,8152,16306,66463256,5
8154,32,2,8153,40770,66479562,8
8155,32,2,8154,16310,66495870,7
8156,32,2,8155,24468,66512180,7
8157,32,2,8156,16314,66528492,6
8158,32,2,8157,24474,66544806,6
8159,32,2,8158,16318,66561122,5
8160,33,3,8159,57120,66577440,9
8161,31,2,8160,16322,66593760,5
8162,33,2,8161,24486,66610082,8
8163,32,2,8162,16326,66626406,6
8164,32,2,8163,24492,66642732,7
